w,r,g,b
380,0.0214,0.0094,0.9881 
385,0.0210,0.0093,0.9883 
390,0.0206,0.0093,0.9887 
395,0.0201,0.0092,0.9892 
400,0.0194,0.0092,0.9898 
405,0.0186,0.0091,0.9905 
410,0.0176,0.0089,0.9913 
415,0.0162,0.0085,0.9923 
420,0.0142,0.0077,0.9935 
425,0.0111,0.0062,0.9951 
430,0.0069,0.0039,0.9970 
435,0.0009,0.0006,0.9996 
440,0.0066,0.0039,1.0027 
445,0.0166,0.0098,1.0069 
450,0.0304,0.0177,1.0127 
455,0.0480,0.0279,1.0201 
460,0.0704,0.0417,1.0286 
465,0.0988,0.0613,1.0375 
470,0.1399,0.0941,1.0458 
475,0.1976,0.1467,1.0509 
480,0.2794,0.2308,1.0486 
485,0.3952,0.3619,1.0333 
490,0.5446,0.5555,0.9891 
495,0.7274,0.8215,0.9060 
500,0.9158,1.1360,0.7798 
505,1.0632,1.4457,0.6175 
510,1.1189,1.6852,0.4337 
515,1.0502,1.7859,0.2644 
520,0.8818,1.7331,0.1487 
525,0.6771,1.5922,0.0849 
530,0.4805,1.4331,0.0474 
535,0.3114,1.2874,0.0240 
540,0.1623,1.1527,0.0096
545,0.0281,1.0267,0.0013
550,0.0939,0.9092,0.0031
555,0.2054,0.7995,0.0050
560,0.3078,0.6978,0.0056
565,0.4016,0.6039,0.0055
570,0.4874,0.5176,0.0050
575,0.5654,0.4389,0.0043
580,0.6357,0.3678,0.0035
585,0.6988,0.3041,0.0029
590,0.7544,0.2480,0.0024
595,0.8025,0.1994,0.0019
600,0.8423,0.1592,0.0015
605,0.8757,0.1254,0.0011
610,0.9025,0.0986,0.0010
615,0.9238,0.0770,0.0008
620,0.9403,0.0603,0.0006
625,0.9533,0.0472,0.0005
630,0.9636,0.0367,0.0004
635,0.9719,0.0283,0.0003
640,0.9789,0.0214,0.0003
645,0.9844,0.0158,0.0003
650,0.9884,0.0118,0.0001
655,0.9915,0.0086,0.0001
660,0.9938,0.0064,0.0001
665,0.9952,0.0049,0.0001
670,0.9965,0.0036,0.0001
675,0.9974,0.0026,0.0000
680,0.9983,0.0017,0.0000
685,0.9991,0.0009,0.0000
690,0.9996,0.0004,0.0000
695,0.9999,0.0001,0.0000
700,1.0000,0.0000,0.0000
780,1.0000,0.0000,0.0000